iter	MultiClass
0	1.458565933
1	1.307414734
2	1.194309672
3	1.091316151
4	1.031767438
5	0.9773415072
6	0.9088210313
7	0.8486721744
8	0.782060389
9	0.7331927442
10	0.7009910938
11	0.6476806995
12	0.6173058478
13	0.5737115173
14	0.543647381
15	0.5094805411
16	0.4805266502
17	0.4510252534
18	0.4242090815
19	0.3961593663
20	0.3723745562
21	0.3538920717
22	0.3339378129
23	0.3161723077
24	0.2991294684
25	0.2817176223
26	0.2709947457
27	0.2578760508
28	0.2466511278
29	0.2341895431
30	0.223315254
31	0.2131496735
32	0.2024839224
33	0.1910821319
34	0.1815217054
35	0.170550762
36	0.1628693826
37	0.1535934073
38	0.1473218268
39	0.1397411573
40	0.132095042
41	0.1258449034
42	0.1190971979
43	0.1135087179
44	0.1079828708
45	0.1029212346
46	0.09819183979
47	0.0939022909
48	0.08966781302
49	0.08585986197
50	0.08184004105
51	0.07807992395
52	0.07422497239
53	0.07043737002
54	0.06757145087
55	0.06428821952
56	0.06194370471
57	0.05931066885
58	0.0574384348
59	0.05492578327
60	0.05248023452
61	0.0500330743
62	0.04791710501
63	0.0456113603
64	0.04354923115
65	0.04148641487
66	0.03964887936
67	0.03793424235
68	0.03635176545
69	0.03503049651
70	0.03349408629
71	0.03205739081
72	0.030596029
73	0.02935712807
74	0.02833955111
75	0.02719581986
76	0.02608709072
77	0.02508944354
78	0.02425311152
79	0.02335317433
80	0.02244606821
81	0.02158092134
82	0.02060333764
83	0.01985951891
84	0.0190358326
85	0.01838911748
86	0.01769809723
87	0.01697913508
88	0.0164088803
89	0.015846438
90	0.0153290265
91	0.01472563631
92	0.01420083601
93	0.01369520964
94	0.01321409236
95	0.01283527785
96	0.01238416272
97	0.0120149612
98	0.0116188012
99	0.01120737167
100	0.01081615633
101	0.0104414273
102	0.01006683041
103	0.009745780309
104	0.009385162197
105	0.009089986873
106	0.008787706357
107	0.00850065487
108	0.008211490742
109	0.007946526476
110	0.007718139215
111	0.007466596025
112	0.007243085892
113	0.007045527984
114	0.006794356023
115	0.006606240157
116	0.006391740966
117	0.006212110707
118	0.006036053427
119	0.005856916449
120	0.005686647493
121	0.005494797458
122	0.005343904994
123	0.005184993407
124	0.005059390042
125	0.004912008567
126	0.004779393158
127	0.004636373178
128	0.004510131998
129	0.00439268873
130	0.004269519609
131	0.004166988014
132	0.004054632599
133	0.003942676039
134	0.003839439243
135	0.003741864934
136	0.003677006701
137	0.003588635192
138	0.003494286871
139	0.003411889885
140	0.003336755487
141	0.00326196281
142	0.003182367634
143	0.003108693561
144	0.00303785989
145	0.00297161687
146	0.002904763798
147	0.002847540301
148	0.002788982604
149	0.002734723244
150	0.002674906546
151	0.002622464154
152	0.002571090895
153	0.002513013263
154	0.002461417534
155	0.002409744042
156	0.002361012888
157	0.002316449954
158	0.002275382866
159	0.002234524875
160	0.002194334608
161	0.00215288534
162	0.002116986625
163	0.002078469966
164	0.002039387096
165	0.001999702212
166	0.001961323201
167	0.001929395258
168	0.001892982378
169	0.001861045831
170	0.001837392942
171	0.001803404511
172	0.001773305676
173	0.001746339154
174	0.001712337516
175	0.001682458873
176	0.00165815571
177	0.001631763277
178	0.001603083786
179	0.00157809784
180	0.001549788716
181	0.001526245966
182	0.001502908316
183	0.001482860972
184	0.001461437141
185	0.001437721589
186	0.001417982529
187	0.001400182952
188	0.001381668271
189	0.00136029823
190	0.001342915384
191	0.001323628827
192	0.001305880719
193	0.001284653209
194	0.001266593199
195	0.00124802282
196	0.001231149633
197	0.001213702401
198	0.001196998551
199	0.00118063138
200	0.001166566578
201	0.001153389996
202	0.001138415158
203	0.001126152442
204	0.001111575945
205	0.001100077976
206	0.001086071422
207	0.001072416644
208	0.001059619231
209	0.001047787466
210	0.001036060915
211	0.001025331072
212	0.001012439131
213	0.001002007593
214	0.0009892208668
215	0.0009789076443
216	0.0009699545327
217	0.0009599211121
218	0.0009497413033
219	0.0009371090223
220	0.0009273407352
221	0.0009172627506
222	0.0009081703293
223	0.0008981909387
224	0.0008877195237
225	0.0008784930628
226	0.0008676630425
227	0.0008566253964
228	0.0008484365551
229	0.0008383694497
230	0.00082940715
231	0.0008196005216
232	0.0008114973521
233	0.0008025821843
234	0.0007950460789
235	0.0007877131904
236	0.0007787215081
237	0.0007700358412
238	0.0007628451062
239	0.0007547783422
240	0.0007458727084
241	0.0007378047009
242	0.0007295502836
243	0.0007222974108
244	0.0007162748215
245	0.0007107165264
246	0.0007042813829
247	0.0006968592778
248	0.0006903602037
249	0.0006840772666
250	0.0006762447356
251	0.0006691118096
252	0.0006627990134
253	0.0006555510784
254	0.0006501073531
255	0.0006448515483
256	0.0006394128244
257	0.0006331833081
258	0.0006286426811
259	0.0006244078979
260	0.0006188709306
261	0.0006142045708
262	0.0006092891112
263	0.0006036888538
264	0.000598988353
265	0.0005942075195
266	0.0005894523764
267	0.0005848231165
268	0.0005806747796
269	0.0005765939822
270	0.0005719880908
271	0.0005669185155
272	0.0005632853067
273	0.000557585912
274	0.0005537240303
275	0.000549283978
276	0.0005448223555
277	0.0005409546492
278	0.0005357111053
279	0.0005319995794
280	0.0005279631007
281	0.0005231501074
282	0.0005201617685
283	0.0005169507616
284	0.0005131526193
285	0.0005087178527
286	0.0005056913406
287	0.000502038283
288	0.000498776747
289	0.0004953782326
290	0.0004922748542
291	0.0004890549809
292	0.0004846332706
293	0.000480648811
294	0.0004783111148
295	0.0004745829953
296	0.0004703063615
297	0.0004667826498
298	0.0004639001764
299	0.0004610547627
300	0.0004566172505
301	0.0004536139242
302	0.000450337773
303	0.0004476050592
304	0.0004445181884
305	0.0004423083269
306	0.000439303391
307	0.0004362979668
308	0.0004333037209
309	0.0004309378644
310	0.0004282738323
311	0.0004252814864
312	0.0004227377759
313	0.0004204850143
314	0.0004177128339
315	0.0004153242631
316	0.0004132244056
317	0.0004097823283
318	0.0004075777688
319	0.0004047444183
320	0.000402117625
321	0.0003994620532
322	0.0003974491403
323	0.0003947757157
324	0.000392740011
325	0.0003903986093
326	0.0003883731427
327	0.0003857783512
328	0.0003837747318
329	0.0003813367142
330	0.0003793455891
331	0.0003770695857
332	0.0003750753379
333	0.0003728841157
334	0.000370901269
335	0.0003689371018
336	0.0003665153519
337	0.0003644567692
338	0.000362122238
339	0.0003602882224
340	0.0003582340279
341	0.0003556679279
342	0.0003539917747
343	0.0003522644613
344	0.0003505892671
345	0.0003488691427
346	0.0003474185412
347	0.0003448531947
348	0.0003430734768
349	0.0003412402237
350	0.0003396405363
351	0.0003379891113
352	0.0003361893602
353	0.0003344681404
354	0.0003329493445
355	0.0003313920198
356	0.0003295426513
357	0.0003280167837
358	0.000326192925
359	0.0003241142393
360	0.0003216736401
361	0.0003198079577
362	0.0003182303988
363	0.0003167350631
364	0.0003148807275
365	0.000313122175
366	0.000311672032
367	0.0003101718026
368	0.0003076458343
369	0.0003063165099
370	0.0003049213668
371	0.0003031258308
372	0.0003015342573
373	0.0002999359527
374	0.0002987102019
375	0.0002974003487
376	0.0002959669359
377	0.0002947361532
378	0.0002934030598
379	0.0002919502044
380	0.0002907150606
381	0.0002891995659
382	0.0002881977027
383	0.0002869948268
384	0.0002857513791
385	0.00028445431
386	0.0002834004675
387	0.0002819413557
388	0.0002808948361
389	0.0002796769462
390	0.0002783867087
391	0.0002773207692
392	0.0002760642005
393	0.0002747099318
394	0.0002733488302
395	0.0002723108597
396	0.0002710355642
397	0.0002699385583
398	0.000268813046
399	0.0002677666291
400	0.0002665533049
401	0.0002654588659
402	0.0002640974098
403	0.0002628699761
404	0.0002614333238
405	0.0002603628353
406	0.0002592574328
407	0.0002582459593
408	0.0002572052239
409	0.0002562672066
410	0.0002551293579
411	0.0002541097731
412	0.0002530679932
413	0.0002519457284
414	0.0002509811064
415	0.0002499622426
416	0.0002489738582
417	0.0002480127474
418	0.0002470958097
419	0.0002460684855
420	0.0002447554356
421	0.0002438246618
422	0.0002427869104
423	0.0002420098859
424	0.0002411700446
425	0.0002402946356
426	0.0002394446051
427	0.0002386497397
428	0.0002379215662
429	0.0002368217447
430	0.0002358716154
431	0.0002350171782
432	0.0002338025489
433	0.0002329289108
434	0.0002320184342
435	0.000231080908
436	0.0002303025451
437	0.0002294355652
438	0.0002284796662
439	0.0002276867636
440	0.0002268049512
441	0.0002258079962
442	0.0002251140454
443	0.0002243376263
444	0.0002235016528
445	0.0002228791489
446	0.0002220711999
447	0.0002211920457
448	0.000220542541
449	0.0002198422345
450	0.0002190319722
451	0.0002185452229
452	0.0002177396243
453	0.0002169950412
454	0.000216227385
455	0.0002154245196
456	0.0002146666479
457	0.0002136779982
458	0.0002129292061
459	0.0002120595227
460	0.0002111858922
461	0.0002105186234
462	0.0002096219398
463	0.0002089403146
464	0.0002078851437
465	0.0002072262311
466	0.0002063242686
467	0.000205540723
468	0.0002048565979
469	0.0002042156534
470	0.0002034210785
471	0.000202632549
472	0.0002019022092
473	0.0002011965294
474	0.0002005113149
475	0.0001999427691
476	0.0001993951489
477	0.0001987139958
478	0.0001976901012
479	0.0001971491293
480	0.0001964220582
481	0.0001957979063
482	0.000195232639
483	0.0001943890379
